City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,gizo,-8.103,156.8419,28.29,77,94,3.35,SB,1704826747
180,st. john's,47.5649,-52.7093,-2.4,59,20,8.75,CA,1704826690
181,harstad,68.799,16.5293,2.66,98,100,5.36,NO,1704826748
182,paita,-5.0892,-81.1144,27.26,63,100,6.21,PE,1704826665
183,carutapera,-1.195,-46.02,29.53,63,34,3.82,BR,1704826748
184,karasburg,-28.0167,18.75,23.5,35,0,8.63,NA,1704826748
185,les avirons,-21.2418,55.3394,24.05,83,75,8.75,RE,1704826749
186,nguigmi,14.2495,13.1092,23.56,16,0,4.88,NE,1704826749
187,flying fish cove,-10.4217,105.6791,25.82,94,40,1.03,CX,1704826749
188,mobaye,4.319,21.1786,25.89,25,28,0.04,CF,1704826750
189,novodvinsk,64.4165,40.8122,-15.14,100,100,1.43,RU,1704826750
190,kuta,-8.7233,115.1723,27.97,94,40,2.68,ID,1704826750
191,aldan,58.6031,125.3894,-32.13,88,62,2.48,RU,1704826750
192,inarajan village,13.2736,144.7484,28.08,84,10,9.96,GU,1704826751
193,hami,42.8,93.45,-5.15,62,0,1.3,CN,1704826751
194,malakal,9.5334,31.6605,29.59,23,15,2.19,SS,1704826752
195,broken hill,-31.95,141.4333,24.1,50,2,2.49,AU,1704826529
196,port moresby,-9.4431,147.1797,24.68,94,40,2.57,PG,1704826698
197,avarua,-21.2078,-159.775,26.03,83,75,3.09,CK,1704826752
198,oskarshamn,57.2645,16.4484,-3.9,82,13,4.52,SE,1704826753
199,kayangel,8.0823,134.7173,28.5,76,99,9.77,PW,1704826659
200,vadso,70.0744,29.7487,-5.91,86,75,4.12,NO,1704826753
201,kutahya,39.4242,29.9833,1.23,97,100,2.19,TR,1704826754
202,hammerfest,70.6634,23.6821,2.25,87,75,1.54,NO,1704826754
203,kavieng,-2.5744,150.7967,27.59,77,35,1.5,PG,1704826754
204,ghat,24.9647,10.1728,14.1,19,21,2.26,LY,1704826754
205,rimouski,48.4488,-68.524,-10.18,63,100,1.41,CA,1704826561
206,cole harbour,44.6724,-63.4751,0.95,47,20,4.12,CA,1704826755
207,coahuayana de hidalgo,18.7,-103.6583,27.91,58,100,1.9,MX,1704826755
208,chekmagush,55.1319,54.6556,-18.94,98,100,2.05,RU,1704826756
209,brookings,44.3114,-96.7984,-8.64,83,0,6.69,US,1704826756
210,khada,27.1833,83.8833,11.6,58,0,2.57,IN,1704826756
211,kargasok,59.0556,80.8572,-19.46,91,46,5.81,RU,1704826757
212,ocean city,39.2776,-74.5746,10.14,87,100,4.02,US,1704826691
213,goondiwindi,-28.55,150.3167,23.98,79,87,2.28,AU,1704826757
214,msanga,-6.05,36.0333,19.79,96,99,0.91,TZ,1704826465
215,lautoka,-17.6167,177.4667,24.92,94,40,0.0,FJ,1704826758
216,bredasdorp,-34.5322,20.0403,19.85,79,100,5.76,ZA,1704826758
217,sao gabriel da cachoeira,-0.1303,-67.0892,33.89,59,40,1.03,BR,1704826758
218,am timan,11.0297,20.2827,26.83,13,0,2.16,TD,1704826759
219,timmins,48.4669,-81.3331,-10.1,85,100,3.6,CA,1704826759
220,jayapura,-2.5333,140.7,25.66,92,100,1.79,ID,1704826640
221,walvis bay,-22.9575,14.5053,18.53,72,49,3.09,NA,1704826727
222,qina,26.1642,32.7267,19.63,15,19,3.5,EG,1704826759
223,poyang,28.9924,116.6675,9.24,57,4,5.97,CN,1704826760
224,la'ie,21.6477,-157.9253,24.23,95,35,6.12,US,1704826760
225,natal,-5.795,-35.2094,31.36,66,40,6.69,BR,1704826760
226,punta arenas,-53.15,-70.9167,10.06,46,75,13.89,CL,1704826760
227,east london,-33.0153,27.9116,22.52,88,100,3.09,ZA,1704826761
228,artesia,33.8658,-118.0831,17.69,45,0,2.06,US,1704826744
229,rongelap,11.1635,166.8941,26.79,84,9,10.83,MH,1704826761
230,huilong,31.8111,121.655,5.88,77,35,6.35,CN,1704826761
231,morteros,-30.7116,-61.9986,26.89,76,100,5.79,AR,1704826762
232,college,64.8569,-147.8028,-13.82,78,75,0.0,US,1704826672
233,codrington,-38.2667,141.9667,14.6,97,28,2.66,AU,1704826669
234,saudarkrokur,65.7461,-19.6394,5.18,76,100,8.0,IS,1704826762
235,kitimat,54.0524,-128.6534,-0.73,70,100,1.35,CA,1704826762
236,nemuro,43.3236,145.575,-2.11,76,75,3.59,JP,1704826678
237,chibougamau,49.9168,-74.3659,-16.21,85,75,3.09,CA,1704826763
238,ciudad bolivar,8.1222,-63.5497,36.19,26,93,5.27,VE,1704826763
239,tromso,69.6496,18.957,2.01,80,75,4.12,NO,1704826763
240,holualoa,19.6228,-155.9522,20.91,83,100,9.77,US,1704826764
241,kaisiadorys,54.8667,24.45,-0.24,95,92,5.66,LT,1704826764
242,kenai,60.5544,-151.2583,-8.81,87,0,1.54,US,1704826618
243,nuuk,64.1835,-51.7216,0.25,68,100,5.13,GL,1704826764
244,segezha,63.7415,34.3222,-17.95,99,100,1.08,RU,1704826764
245,saarijarvi,62.7049,25.254,0.65,97,100,2.14,FI,1704826765
